Comment,Designator,Footprint,JLCPCB Part #
15p,"C1,C2",402,
4.7u,"C3,C6,C7,C11,C13,C20,C22,C23,C25,C30,C31,C32,C34,C35,C37,C38,C39,C41",402,C23733
0.1u,"C4,C5,C8,C9,C10,C12,C14,C15,C16,C17,C18,C19,C21,C24,C26,C27,C28,C29,C33,C36,C42",402,C1525
1N4148WT-7,D1,Diode_SMD:D_SOD-523,C2828426
MHPA1010RGBDT,"D2,D4",CUSTOM:LED_Cree-PLCC4_1x1mm_CW,C404280
LTST-C191KGKT,D3,603,C125098
1N5819WS,"D5,D6",Diode_SMD:D_SOD-323,C191023
USB_C_Receptacle_USB2.0,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
BM03B-SRSS-TB,J5,Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,
SFV22R-2STE1HLF,J6,RP2350_60QFN_minimal:AMPHENOL_SFV22R-2STE1HLF,
3.3u,L1,RP2350_60QFN_minimal:L_pol_2016,
MF-FSMF035X-2,PTC1,603,C116602
1k,"R1,R2,R17,R18,R19, R12",402,C11702
27,"R4,R5,R6,R9,R26,R34",402,C138021
10K,"R7,R8,R13,R15,R16,R21,R23,R28,R29,R32",402,C25744
10K,RN1,804,C25725
5.1K,"R10,R24,R33",Resistor_SMD:R_0402_1005Metric,C25905
100,"R11,R25",Resistor_SMD:R_0402_1005Metric,C25076
2.2K,R14,Resistor_SMD:R_0402_1005Metric,C25879
56K,"R20,R22",Resistor_SMD:R_0402_1005Metric,
CS1213AGF260,"SW1,SW2",CUSTOM:PTS820J25KSMTRLFS,C255735
NCP115AMX120TCG,U1,RP2040_minimal:OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,C2682737
W25Q32JVSSIQ,"U2,U8",Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C179173
RP2350_80QFN,U3,RP2350_60QFN_minimal:RP2350B_QFN-80_EP_10.573x10.573_Pitch0.4mm,
TL431DBZ,U4,Package_TO_SOT_SMD:SOT-23,
APS6404L-3SQN-SN,U5,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
ICE40UP5K-SG48ITR,U6,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,
NCP115AMX330TCG,U9,RP2040_minimal:OnSemi_XDFN4-1EP_1.0x1.0mm_EP0.52x0.52mm,C2682741
ABM8-272-T3,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
